sample_id,Cobertura,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,MSAVI,NDWI,BSI,MBSI,NDSI,MSWI,NDBI,Codigo,geometry_wkt,latitude,longitude
training_000010,Vegetacion,-74.811,8.06924765,0.05689999833703041,0.05559999868273735,0.08735000342130661,0.08354999870061874,0.1425500065088272,0.21070000529289246,0.23385000228881836,0.2285500019788742,0.25255000591278076,0.2543500065803528,0.23919999599456787,0.15860000252723694,0.46459469199180603,0.23785142600536346,-0.4469768702983856,0.06360190361738205,0.4822618067264557,0.4650129973888397,0.3099318742752075,0.02276856079697609,4,POINT (4800469.963487 2450088.745005),2450088.7450051787,4800469.963487397
training_000011,Suelo Desnudo,-74.847,8.012461263,0.04399999976158142,0.055799998342990875,0.0925000011920929,0.08940000087022781,0.15080000460147858,0.25929999351501465,0.290800005197525,0.2856000065803528,0.31679999828338623,0.29679998755455017,0.2524999976158142,0.1412999927997589,0.5231999754905701,0.31150364875793457,-0.5107114315032959,0.0007317335694096982,0.47704005241394043,0.4637680947780609,0.22496746480464935,-0.061512745916843414,6,POINT (4796465.853323 2443828.090095),2443828.090094588,4796465.853323178
training_000012,Cuerpos de Agua,-74.809,7.911116583,0.05810000002384186,0.07989999651908875,0.13840000331401825,0.17299999296665192,0.18240000307559967,0.13539999723434448,0.14010000228881836,0.11779999732971191,0.09880000352859497,0.15410000085830688,0.014700000174343586,0.0066999997943639755,-0.18982116878032684,-0.08368188142776489,0.08040595799684525,-0.025947071611881256,-0.8433670401573181,-0.8079686760902405,-0.9254312515258789,-0.7781131863594055,7,POINT (4800601.556929 2432604.752496),2432604.752495532,4800601.556929363
training_000013,Cuerpos de Agua,-74.793,8.061539845,0.12155000120401382,0.10920000076293945,0.15729999542236328,0.17560000717639923,0.17524999380111694,0.11694999784231186,0.12134999781847,0.09969999641180038,0.08699999749660492,0.12804999947547913,0.03674999997019768,0.022849999368190765,-0.275699257850647,-0.1154504120349884,0.22412452101707458,0.008189934305846691,-0.6538733243942261,-0.6212316155433655,-0.7697153091430664,-0.46134114265441895,7,POINT (4802535.724922 2449227.430858),2449227.430857933,4802535.724921825
training_000014,Nubes,-74.653,8.009935654,1.0126999616622925,1.0088000297546387,1.016800045967102,1.0592000484466553,1.1275999546051025,1.146399974822998,1.1503000259399414,1.0846999883651733,1.1406999826431274,1.2874000072479248,1.0894999504089355,0.9466999769210815,0.011894183233380318,0.016173873096704483,-0.03231022506952286,0.013012112118303776,0.014101504348218441,0.03451545536518097,-0.056084584444761276,0.0022076910827308893,1,POINT (4817937.688246 2443457.430275),2443457.430274927,4817937.688246005
training_000015,Bosque Natural,-74.662,7.874834554,0.028300000354647636,0.024299999698996544,0.04190000146627426,0.02319999970495701,0.07519999891519547,0.2502000033855438,0.3084000051021576,0.32670000195503235,0.35370001196861267,0.3508000075817108,0.14800000190734863,0.05689999833703041,0.8673906922340393,0.5502350330352783,-0.7726532816886902,-0.34431251883506775,0.7289719581604004,0.5587151050567627,0.420724093914032,-0.37644827365875244,2,POINT (4816795.788577 2428526.088494),2428526.088494342,4816795.788576932
training_000016,Suelo Desnudo,-74.948,7.965886339,0.14845000207424164,0.1445000022649765,0.18780000507831573,0.19629999995231628,0.2570500075817108,0.34769999980926514,0.37435001134872437,0.3598000109195709,0.416949987411499,0.39640000462532043,0.3749000132083893,0.22920000553131104,0.2940118908882141,0.21772833168506622,-0.31409788131713867,0.06220362335443497,0.3126750886440277,0.332504004240036,0.07732081413269043,0.020552609115839005,6,POINT (4785384.674821 2438729.406437),2438729.406436543,4785384.674820648
training_000017,Vegetacion,-74.797,8.123920628,0.07654999941587448,0.08579999953508377,0.11969999969005585,0.15279999375343323,0.17835000157356262,0.17820000648498535,0.18729999661445618,0.187950000166893,0.20045000314712524,0.19464999437332153,0.25475001335144043,0.2308499962091446,0.10315482318401337,0.05314673110842705,-0.22184300422668457,0.19638925790786743,0.25015339255332947,0.3606623411178589,0.20344065129756927,0.15089227259159088,4,POINT (4802106.596734 2456126.292404),2456126.2924040263,4802106.596733672
training_000018,Suelo Desnudo,-74.714,8.124975872,0.042899999767541885,0.044349998235702515,0.07214999943971634,0.07240000367164612,0.13359999656677246,0.23510000109672546,0.26464998722076416,0.2627499997615814,0.30489999055862427,0.3209500014781952,0.2909500002861023,0.15974999964237213,0.5679546594619751,0.3143221139907837,-0.5691251158714294,0.0838988795876503,0.6014861464500427,0.6025888323783875,0.3762653172016144,0.05093010887503624,6,POINT (4811243.657509 2456203.388416),2456203.3884155937,4811243.657509418
training_000019,Nubes,-74.627,8.051699293,0.6948999762535095,0.6195999979972839,0.5916000008583069,0.5708000063896179,0.6355999708175659,0.6385999917984009,0.6399000287055969,0.6266999840736389,0.6388999819755554,0.8964999914169312,0.5561000108718872,0.4577000141143799,0.04668056592345238,0.050757188349962234,-0.028810624033212662,-0.050311800092458725,-0.013044631108641624,-0.030931418761610985,-0.10996595770120621,-0.05968885123729706,1,POINT (4819795.846729 2447990.531408),2447990.531408352,4819795.846729017
